Pulse height	Charge integral
0.037772	49
0.118241	180
0.059814	81
0.058232	81
0.037983	42
0.094934	119
0.083649	131
0.103160	149
0.047369	7
0.028280	9
0.067618	37
0.079325	122
0.025538	9
0.023323	6
0.033659	41
0.025960	26
0.037877	10
0.102527	152
0.035557	8
0.048951	75
0.050322	54
0.069200	93
0.038088	59
0.082911	90
0.115077	187
0.116027	188
0.137647	219
0.090504	102
0.136592	203
0.034819	2
0.075423	40
0.029335	23
0.029440	2
0.027753	3
0.042623	11
0.122671	136
0.043889	24
0.034397	14
0.038721	14
0.055173	42
0.028491	6
0.069728	92
0.097676	136
0.053802	15
0.160216	195
0.058548	54
0.024061	13
0.030389	23
0.039248	58
0.029651	3
0.031127	16
0.034819	3
0.027753	9
0.043678	46
0.026171	3
0.030811	40
0.108433	179
0.123936	215
0.117398	157
0.057388	58
0.042201	12
0.031233	44
0.046103	72
0.153361	189
0.097148	164
0.040303	5
0.043678	52
0.032393	38
0.081751	143
0.041568	39
0.052326	65
0.052431	19
0.037350	56
0.039143	25
0.094301	12
0.107906	138
0.050217	73
0.047264	2
0.027436	30
0.035662	12
0.032498	15
0.038088	3
0.071837	107
0.024905	3
0.117609	191
0.030811	33
0.061290	95
0.076688	87
0.040830	49
0.098309	146
0.026803	5
0.127839	173
0.134061	148
0.045049	29
0.064560	70
0.042518	56
0.097254	123
0.024694	15
0.111281	178
0.060974	91
0.108433	197
0.105797	147
0.076161	134
0.036928	11
0.125624	218
0.044311	41
0.120878	152
0.054752	11
0.048846	77
0.037877	2
0.026382	9
0.027120	6
0.028702	3
0.045682	3
0.079219	82
0.028491	7
0.073208	99
0.133428	206
0.068146	80
0.097887	21
0.028280	23
0.041358	8
0.036401	29
0.025116	16
0.085969	106
0.031444	14
0.057915	63
0.033131	38
0.100207	138
0.066880	104
0.061501	67
0.026803	14
0.071099	106
0.102633	132
0.074895	113
0.040725	60
0.075212	109
0.035451	38
0.073841	5
0.033764	36
0.147139	231
0.038194	3
0.045998	9
0.030600	8
0.071415	30
0.041779	12
0.047474	20
0.035241	18
0.025116	3
0.058443	14
0.036928	11
0.047158	18
0.151463	234
0.099680	127
0.043572	70
0.061396	87
0.075528	74
0.045260	47
0.028596	18
0.042729	37
0.094934	128
0.123515	164
0.129948	203
0.029967	3
0.116448	114
0.029335	41
0.044416	37
0.037983	11
0.048107	31
0.036823	26
0.039459	14
0.024167	2
0.130686	172
0.027858	20
0.083227	117
0.065825	3
0.076372	118
0.034713	46
0.055279	46
0.033448	6
0.056017	90
0.071415	104
0.024483	5
0.110859	173
0.054119	58
0.034819	43
0.033026	16
0.049689	65
0.058021	63
0.031971	48
0.091453	101
0.072997	98
0.080907	141
0.053908	10
0.123726	166
0.053697	55
0.026171	6
0.043467	14
0.072153	136
0.024905	17
0.034713	7
0.024800	16
0.145873	211
0.149564	201
0.072470	60
0.031549	6
0.030917	16
0.114445	161
0.054752	17
0.051693	87
0.050638	31
0.045049	34
0.085547	124
0.131319	209
0.035346	46
0.045893	52
0.035241	45
0.120983	186
0.037877	62
0.042518	9
0.031549	36
0.026592	16
0.042623	2
0.064032	79
0.151674	211
0.040830	38
0.035662	15
0.034080	31
0.031655	16
0.043783	7
0.119823	164
0.048107	10
0.050638	55
0.069200	68
0.044943	9
0.033342	7
0.073208	85
0.049162	11
0.025749	5
0.075845	115
0.028913	6
0.091875	119
0.032182	18
0.031866	17
0.028069	3
0.036612	12
0.137014	217
0.147139	234
0.039776	9
0.035241	18
0.026909	23
0.039565	11
0.028596	4
0.094301	129
0.037877	26
0.072259	79
0.058021	53
0.028913	7
0.056755	4
0.031233	5
0.031866	8
0.139545	226
0.041358	38
0.121616	167
0.036295	10
0.049689	6
0.048318	40
0.023745	26
0.050533	15
0.080907	7
0.030495	17
0.035873	5
0.040936	57
0.062556	85
0.028174	41
0.064560	61
0.035451	45
0.082489	96
0.039248	17
0.084598	153
0.143237	187
0.028280	36
0.044521	4
0.075317	105
0.099258	171
0.084914	113
0.033131	44
0.034397	47
0.047896	5
0.138912	201
0.088500	4
0.041147	57
0.063822	10
0.025221	13
0.098203	193
0.084071	120
0.082278	111
0.038194	16
0.053802	41
0.037666	10
0.040936	59
0.118874	185
0.095250	13
0.091348	116
0.073630	109
0.106007	159
0.036717	8
0.034713	5
0.061501	98
0.051166	18
0.048740	41
0.040092	28
0.040725	6
0.076688	85
0.089977	129
0.081856	6
0.135643	202
0.036612	14
0.028385	2
0.068989	95
0.045154	64
0.029862	44
0.061607	80
0.028491	36
0.039565	58
0.039459	11
0.040092	5
0.050217	36
0.094195	164
0.100312	139
0.075845	79
0.043678	3
0.128155	183
0.034713	42
0.041147	3
0.120667	184
0.027858	14
0.137436	180
0.151463	195
0.068251	75
0.037244	32
0.036401	38
0.028807	52
0.079114	21
0.027436	7
0.055490	52
0.068989	20
0.059919	13
0.025432	17
0.024378	9
0.042518	56
0.066985	86
0.044732	3
0.063083	98
0.032288	4
0.031127	5
0.111913	141
0.050217	15
0.126468	213
0.040092	45
0.032288	22
0.030073	19
0.037455	41
0.028069	3
0.071520	55
0.065825	14
0.039248	2
0.041674	50
0.048951	44
0.053802	3
0.110542	180
0.044838	30
0.025116	15
0.038826	2
0.043678	6
0.030706	22
0.077321	120
0.078481	118
0.061712	89
0.055068	73
0.031127	5
0.036717	3
0.052009	58
0.031549	6
0.077426	98
0.037772	10
0.024800	6
0.043572	4
0.057072	64
0.055384	82
0.025432	13
0.033131	16
0.069517	82
0.037139	21
0.115921	167
0.080590	91
0.027331	3
0.057177	80
0.046209	14
0.102527	129
0.044627	13
0.101367	146
0.130053	185
0.040197	2
0.048740	38
0.027858	47
0.079747	112
0.037877	2
0.070677	99
0.103582	170
0.111703	191
0.087129	117
0.031233	3
0.049478	12
0.132374	202
0.088289	130
0.082911	98
0.024905	6
0.079958	16
0.038932	47
0.076372	94
0.033026	44
0.038405	38
0.027963	22
0.049795	19
0.121194	159
0.036295	50
0.043150	39
0.137963	204
0.043045	5
0.037033	17
0.041779	6
0.104109	157
0.047369	33
0.048002	28
0.068462	72
0.185317	212
0.061079	8
0.054752	7
0.048424	18
0.148088	202
0.050533	8
0.055068	29
0.029018	39
0.107800	170
0.134272	265
0.079852	85
0.023639	14
0.110964	154
0.027436	16
0.059603	98
0.062556	89
0.054013	34
0.106535	147
0.048529	62
0.132901	199
0.028280	5
0.094828	113
0.163908	231
0.066142	13
0.056334	42
0.035662	5
0.093035	125
0.036506	47
0.058232	57
0.039881	59
0.056755	80
0.094828	104
0.031760	7
0.143764	213
0.052748	51
0.056966	80
0.119823	178
0.028174	9
0.069306	9
0.067829	81
0.152834	193
0.034608	9
0.034397	14
0.062240	79
0.063189	98
0.029862	5
0.099047	135
0.043572	7
0.034819	45
0.115605	204
0.035557	8
0.029229	19
