Pulse height	Charge integral
0.227972	322
0.176122	273
0.233926	339
0.215010	298
0.244149	349
0.209530	290
0.228288	316
0.268651	332
0.208370	268
0.101457	82
0.238563	332
0.041914	52
0.231977	324
0.224073	300
0.202943	294
0.216380	317
0.203628	299
0.220648	337
0.251526	326
0.238247	338
0.232609	334
0.250525	318
0.253159	333
0.195039	312
0.257585	337
0.266859	328
0.264910	333
0.236192	529
0.227814	284
0.223019	284
0.198728	328
0.244939	323
0.277029	340
0.233874	308
0.238827	329
0.287357	347
0.206631	333
0.236930	296
0.209582	301
0.243095	298
0.231344	324
0.200519	290
0.201678	323
0.193406	308
0.223335	351
0.233083	300
0.234664	350
0.209161	313
0.233241	326
0.225337	307
0.259851	368
0.259219	318
0.207843	299
0.234769	337
0.252211	326
0.254160	309
0.203154	270
0.278399	340
0.213850	305
0.236087	344
0.252000	331
0.220806	334
0.250050	323
0.228552	328
0.250841	338
0.219857	328
0.243095	343
0.235929	326
0.163318	252
0.135285	174
0.245466	336
0.036644	46
0.236350	309
0.237088	339
0.239564	351
0.257533	341
0.059513	79
0.224705	309
0.264014	345
0.238194	333
0.303428	361
0.224284	294
0.215589	316
0.269968	343
0.226655	292
0.211426	311
0.234980	337
0.243622	345
0.230659	326
0.254213	343
0.248996	328
0.222123	335
0.227656	350
0.269389	333
0.046182	4
0.250893	315
0.200572	326
0.269599	332
0.207422	278
0.223651	308
0.050292	4
0.254002	312
0.234084	303
0.254371	355
0.198042	247
0.257111	350
0.291203	359
0.226022	313
0.233452	339
0.038067	11
0.267913	329
0.200993	311
0.262591	315
0.253686	326
0.237035	351
0.284828	321
0.236297	334
0.265015	338
0.255688	332
0.232451	311
0.208581	289
0.230449	321
0.252158	293
0.242463	325
0.224178	333
0.229816	309
0.233716	317
0.237615	341
0.241251	330
0.194038	278
0.223704	287
0.209213	309
0.233189	299
0.231819	325
0.247047	314
0.207053	315
0.203839	322
0.248522	341
0.244359	322
0.231292	306
0.243411	298
0.273341	341
0.218066	337
0.234295	342
0.241514	312
0.042019	6
0.190455	324
0.235876	322
0.254424	349
0.225074	357
0.206368	320
0.216696	327
0.080538	99
0.266332	351
0.187346	323
0.213271	323
0.241567	269
