Pulse height	Charge integral
0.244694	326
0.217378	335
0.029967	39
0.207148	312
0.039354	36
0.046420	63
0.223390	311
0.230983	311
0.038088	10
0.278231	338
0.024905	28
0.106851	148
0.232776	279
0.081856	5
0.074263	95
0.214425	291
0.025010	5
0.198711	326
0.341932	580
0.190907	317
0.277282	332
0.047685	44
0.252920	291
0.082594	80
0.066036	91
0.025327	35
0.038510	22
0.042834	13
0.028913	13
0.270533	299
0.246381	312
0.045260	69
0.289727	325
0.224339	295
0.047053	8
0.223917	355
0.226237	345
0.026487	7
0.040619	12
0.230245	342
0.036295	14
0.069938	76
0.025010	31
0.057599	7
0.064032	60
0.027647	23
0.117503	12
0.057494	78
0.076161	100
0.206937	315
0.240686	313
0.029229	7
0.032604	27
0.068884	17
0.032604	40
0.086918	128
0.226132	363
0.255978	296
0.046314	25
0.044205	15
0.235413	332
0.051799	11
0.085864	4
0.024061	11
0.027647	9
0.059919	6
0.050638	16
0.227503	319
0.041252	62
0.042096	41
0.216218	318
0.229823	332
0.218855	340
0.182891	283
0.187321	303
0.218855	344
0.223179	330
0.197656	320
0.035241	11
0.028596	33
0.060025	111
0.025010	5
0.195020	308
0.029862	27
0.025010	21
0.199238	311
0.217589	303
0.044732	18
0.099785	116
0.022057	16
0.060869	42
0.055279	57
0.051166	70
0.221808	335
0.040514	24
0.155998	282
0.026382	19
0.248174	330
0.226765	301
0.069833	91
0.234147	316
0.025538	30
0.247858	335
0.026065	13
0.205039	303
0.211261	290
0.240370	355
0.195758	231
0.230878	292
0.024589	3
0.043361	7
0.034397	19
0.032288	5
0.033448	37
0.224972	327
0.181204	293
0.094934	22
0.029124	16
0.209996	15
0.067618	16
0.042939	54
0.216640	325
0.216218	321
0.215058	308
0.105480	149
0.193332	295
0.025960	6
0.061818	89
0.234253	307
0.034291	26
0.229401	311
0.236151	303
0.040619	7
0.203984	283
0.025116	2
0.028807	22
0.269583	360
0.061501	16
0.204090	313
0.272642	360
0.075423	87
0.120983	22
0.130264	185
0.191539	268
0.224023	338
0.063083	6
0.037877	58
0.234780	304
0.047264	49
0.232882	305
0.202086	282
0.236151	325
0.198606	308
0.041252	14
0.188692	304
0.032182	37
0.290254	334
0.231405	320
0.029862	27
0.211578	304
0.187321	294
0.044732	3
0.070782	3
0.053697	10
0.201559	307
0.025010	31
0.045365	48
0.038405	38
0.270533	323
0.140811	198
0.262623	343
0.206621	296
0.231511	296
0.209468	305
0.197656	266
0.029440	23
0.061923	10
0.054541	50
0.188375	307
0.034713	9
0.216640	321
0.185106	288
0.094828	28
0.024272	26
0.064665	13
0.225183	339
0.028069	12
0.198500	305
0.028913	47
0.220648	335
0.034924	10
0.230456	293
0.067724	13
0.252393	306
0.243534	313
0.036717	36
0.241424	348
0.230350	321
0.213792	312
0.025432	28
0.053486	24
0.196285	312
0.212000	317
0.057810	85
0.193121	316
0.221175	345
0.030706	33
0.050217	66
0.068989	19
0.257244	363
0.191012	285
0.190590	308
0.138069	184
0.033237	48
0.197551	262
0.218644	332
0.071837	17
0.270533	357
0.043572	48
0.240264	311
0.153783	246
0.076161	95
0.034713	21
0.110964	147
0.032920	20
0.235202	346
0.052115	42
0.032393	28
0.207148	319
0.039037	3
0.215691	324
0.199555	268
0.033975	35
0.054435	82
0.025960	32
0.045049	65
0.034186	31
0.183840	296
0.257033	364
0.045998	66
0.196813	308
0.076266	23
0.040092	7
0.211894	315
0.041568	25
0.110542	147
0.054330	68
0.227081	313
0.228241	310
0.216851	329
0.303543	329
0.028596	12
0.075317	7
0.028807	10
0.072259	73
0.242373	352
0.170236	270
0.198816	274
0.046103	10
0.054119	78
0.027542	11
0.076583	128
0.033870	15
0.030811	44
0.222019	318
0.225710	316
0.089871	100
0.042518	64
0.244166	305
0.041568	7
0.185422	239
0.034080	29
0.202191	301
0.028913	24
0.210207	316
0.043045	50
0.123093	110
0.236362	329
0.222546	325
0.059287	64
0.268529	331
0.239209	320
0.193016	323
0.046736	63
0.032604	50
0.226448	325
0.212316	281
0.052853	8
0.207465	336
0.059076	45
0.070044	120
0.087551	122
0.250389	323
0.234253	274
0.217906	298
0.027120	37
0.130264	6
0.047580	6
0.218222	305
0.228030	302
0.230456	325
0.208097	297
0.187954	294
0.215374	320
0.033659	6
0.226343	320
0.235518	337
0.038932	2
0.049162	4
0.228768	309
0.115710	175
0.204933	307
0.048002	11
0.249545	329
0.023639	15
0.035557	34
0.221913	327
0.029545	11
0.081329	128
0.027331	7
0.221913	333
0.295317	330
0.026487	24
0.228452	314
0.023745	10
0.250494	332
0.255978	341
0.055912	50
0.227292	327
0.063294	10
0.241002	303
0.264626	357
0.066353	80
0.032920	41
0.057915	8
0.053170	73
0.025116	11
0.218749	334
0.174032	212
0.036295	48
0.035135	13
0.172345	289
0.034186	18
0.188692	317
0.025116	10
0.063505	2
0.058759	61
0.025960	31
0.025643	26
0.236678	301
0.025221	8
0.242901	278
0.083227	22
0.220542	314
0.235518	312
0.025960	15
0.209152	303
0.229401	361
0.094723	123
0.023956	25
0.235940	316
0.025432	8
0.029545	11
0.031971	4
0.225499	305
0.217273	289
0.025432	3
0.079430	27
0.211683	322
0.045576	4
0.062556	80
0.082911	93
0.251232	318
0.227081	301
0.245432	347
0.223917	282
0.065298	7
0.061607	7
0.221175	328
0.245748	328
0.236889	341
0.098836	67
0.030178	2
0.180677	303
0.207359	349
0.177724	310
0.206832	290
0.063294	7
0.082911	110
0.193543	320
0.066669	17
0.234569	312
0.122987	145
0.242690	319
0.226765	355
0.035662	15
0.071415	72
0.213476	345
0.239209	329
0.236362	326
0.209996	315
0.230983	346
0.212527	321
0.217589	272
0.065825	22
0.023956	14
0.030600	3
0.034186	52
0.029545	34
0.050427	3
0.201031	312
0.308289	376
0.209785	342
0.028807	19
0.186688	281
0.203457	272
0.255978	324
0.255978	331
0.205039	293
0.027331	18
0.220437	297
0.057705	15
0.063716	6
0.127311	160
0.039670	23
0.047264	56
0.252709	341
0.217378	287
0.035241	45
0.096305	101
0.263783	349
0.222230	346
0.050638	39
0.203035	310
0.025010	29
0.224550	304
0.030178	19
0.182364	273
0.050849	47
0.253764	333
0.212105	311
0.047474	65
0.052748	11
0.025960	25
0.220015	314
0.179727	281
0.027436	36
0.049795	74
0.244905	330
0.108011	3
0.064032	16
0.243112	329
0.232038	340
0.268318	319
0.053064	68
0.227608	304
0.209996	279
0.225921	308
0.313351	478
0.246592	324
0.219593	328
0.029967	26
0.035979	30
0.086180	135
0.242268	347
0.221913	340
0.231511	320
0.211578	343
0.230667	332
0.024694	24
0.024483	9
0.193860	315
0.218327	335
0.234147	329
0.213476	331
0.076794	8
0.040936	11
0.033870	14
0.032393	7
0.056439	10
0.203141	303
0.249650	331
0.045576	5
0.027120	17
0.153888	224
0.058865	12
0.190590	261
0.228030	345
0.251654	347
0.043045	3
0.031971	31
0.064032	107
0.055595	78
0.024483	4
0.209574	295
0.064665	6
0.038932	57
0.035662	6
0.066036	16
0.053486	49
0.260513	358
0.022374	3
0.043994	6
0.270216	370
0.036612	5
0.267369	339
0.102527	8
0.025010	35
0.026382	32
0.238788	326
0.039881	48
0.035557	42
0.026065	32
0.043045	6
0.243850	297
0.234253	306
0.110121	175
0.194071	333
0.223179	327
0.219277	286
0.042412	11
0.226870	324
0.219066	319
0.207254	298
0.073630	2
0.077321	83
0.234147	350
0.208625	321
0.030178	9
0.059603	74
0.186477	274
0.051588	18
0.030389	23
0.034080	10
0.214109	303
0.214109	315
0.250494	312
0.209468	281
0.252709	339
0.048846	60
0.270005	340
0.229507	301
0.191856	275
0.233198	330
0.091770	126
0.167599	280
0.175720	186
0.058865	23
0.251232	316
0.166650	282
0.208414	297
0.226132	349
0.262939	336
0.057283	52
0.028280	5
0.086391	129
0.033342	10
0.202508	319
0.076899	12
0.028491	19
0.031022	45
0.115605	147
0.233936	304
0.204090	306
0.032709	7
0.205039	313
0.034186	48
0.095672	117
0.127733	217
0.092297	119
0.096832	10
0.263045	351
0.031127	19
0.050217	45
0.262095	342
0.048635	30
0.236573	328
0.067407	22
0.230350	302
0.076266	109
0.046947	76
0.031655	32
0.106640	201
0.036717	34
0.275173	322
0.025960	13
0.233409	315
0.254080	352
0.191434	299
0.232565	292
0.119296	162
0.025538	7
0.240264	307
0.208519	278
0.221597	287
0.027753	16
0.027436	27
0.037877	43
0.025116	6
0.054435	73
0.232776	320
0.214214	298
0.060974	57
0.251022	321
0.036295	21
0.039037	5
0.058759	36
0.056544	8
0.032709	7
0.201137	318
0.251865	326
0.027331	30
0.059919	73
